Source,Target,Weight
943,12658,6
944,12658,5
945,12658,5
946,12658,5
947,12658,5
541,12658,4
948,12658,4
949,12658,4
950,12658,4
951,12658,4
952,12658,3
72,12658,3
953,12658,3
954,12659,25
955,12659,12
651,12659,11
464,12659,9
956,12659,8
957,12659,2
958,12659,1
356,12659,1
959,12659,1
153,12660,32
960,12660,7
961,12660,5
335,12660,5
962,12660,4
963,12660,1
337,12660,1
964,12660,1
965,12662,2
147,12664,254
966,12664,221
967,12664,26
968,12664,24
969,12664,21
970,12664,7
971,12664,7
972,12664,6
973,12664,5
974,12664,5
975,12664,5
976,12664,5
977,12664,4
742,12664,4
978,12664,4
964,12664,3
979,12664,3
980,12664,3
981,12664,3
982,12664,3
983,12664,3
984,12664,3
985,12664,3
986,12664,2
987,12664,2
674,12664,2
988,12664,2
989,12664,2
990,12664,2
991,12664,2
992,12666,9
993,12666,7
192,12666,4
930,12666,1
994,12666,1
3,12667,23
849,12667,5
124,12667,2
83,12667,1
995,12668,45
788,12672,4
996,12673,25
997,12674,142
998,12675,2
882,12676,23
998,12677,4
999,12678,22
1000,12680,1
663,12681,52
1001,12681,4
1002,12681,2
1003,12681,1
1004,12681,1
97,12681,1
116,12682,1
124,12684,10
1005,12685,1
1006,12686,9
1007,12686,2
1008,12686,2
971,12686,2
1009,12686,1
1010,12686,1
1011,12686,1
1012,12686,1
1013,12686,1
1014,12687,48
1015,12688,290
1016,12689,156
359,12689,97
1017,12689,60
1018,12689,31
1019,12689,27
1020,12689,21
1021,12689,18
1022,12689,17
1023,12689,14
1024,12689,13
1025,12689,13
1026,12689,12
1027,12689,10
1028,12689,9
1029,12689,8
439,12689,8
1030,12689,6
1031,12689,6
1032,12689,5
1033,12689,5
1034,12689,5
1035,12689,5
1036,12689,4
1037,12689,4
25,12689,4
1038,12689,4
1039,12689,4
1040,12689,4
1041,12689,3
297,12689,3
143,12693,12
367,12694,1012
586,12694,22
584,12694,15
8,12694,6
594,12694,4
15,12694,4
83,12694,3
600,12694,2
370,12694,2
1042,12694,2
1043,12694,2
204,12694,2
1044,12694,1
319,12694,1
373,12694,1
31,12694,1
1045,12696,1
1046,12698,2329
1047,12698,285
1048,12699,22
1049,12700,1
1050,12702,7
1051,12702,2
1052,12702,2
1031,12702,1
1053,12702,1
143,12704,431
153,12705,7
214,12707,14
0,12707,1
1054,12708,120
214,12709,3
1055,12710,39
1056,12711,20
1057,12712,79
1058,12712,23
1059,12712,5
1060,12712,1
1061,12713,1
1062,12714,14
1057,12715,2
1063,12716,29
153,12717,117
4,12717,95
904,12717,86
1,12717,17
11,12717,16
1064,12717,10
1065,12717,8
1066,12717,7
1067,12717,5
5,12717,5
1068,12717,4
1069,12717,3
1070,12717,3
33,12717,3
367,12717,3
0,12717,3
882,12717,3
1071,12717,2
1072,12717,1
1073,12717,1
1074,12717,1
1075,12717,1
25,12717,1
324,12717,1
98,12717,1
1076,12717,1
1077,12717,1
575,12717,1
1078,12717,1
197,12717,1
1079,12718,8
1080,12721,25
1081,12722,70
1082,12722,9
1083,12722,7
1084,12722,7
1085,12724,8
1086,12724,1
31,12725,105
33,12725,45
35,12725,17
40,12725,9
41,12725,7
42,12725,6
34,12725,5
49,12725,4
39,12725,3
52,12725,3
58,12725,2
59,12725,2
649,12725,2
650,12725,1
651,12725,1
46,12725,1
652,12725,1
43,12725,1
3,12725,1
1087,12726,3
384,12727,2
1088,12729,8
1089,12730,45
1090,12730,9
1091,12731,683
1092,12731,75
390,12731,37
1093,12731,25
1094,12731,16
1095,12731,11
1096,12731,10
1097,12731,9
1098,12731,8
1099,12731,8
1100,12731,8
1101,12731,7
1102,12731,5
1103,12731,5
1104,12731,5
1105,12731,5
1106,12731,5
1107,12731,5
795,12731,4
1108,12731,4
1109,12731,3
1110,12731,3
1111,12731,3
1112,12731,3
1113,12731,3
